freq(fk_+66),vel(fk_+66),wav(fk_+66),freq(fk_+56),vel(fk_+56),wav(fk_+56),freq(fk_+51),vel(fk_+51),wav(fk_+51),freq(fk_+48),vel(fk_+48),wav(fk_+48),freq(fk_-2),vel(fk_-2),wav(fk_-2),freq(fk_-5),vel(fk_-5),wav(fk_-5),freq(fk_-10),vel(fk_-10),wav(fk_-10),freq(fk_-20),vel(fk_-20),wav(fk_-20),freq(fk_-30),vel(fk_-30),wav(fk_-30)
2.75,120.21857923497267,43.71584699453552,2.75,126.43678160919536,45.97701149425286,2.75,113.40206185567008,41.23711340206185,2.75,15.89595375722543,5.780346820809247,2.75,207.54716981132074,75.47169811320754,2.75,146.66666666666666,53.33333333333333,2.75,247.19101123595505,89.8876404494382,2.75,186.44067796610165,67.7966101694915,2.75,349.20634920634916,126.98412698412697
2.8125,139.75155279503107,49.68944099378883,2.8125,125.0,44.44444444444444,2.8125,114.21319796954315,40.609137055837564,2.8125,16.15218951902369,5.7430007178750895,2.8125,216.3461538461538,76.9230769230769,2.8125,161.87050359712228,57.553956834532364,2.8125,271.08433734939763,96.38554216867472,2.8125,193.9655172413793,68.9655172413793,2.8125,284.8101265822785,101.26582278481013
2.875,185.48387096774195,64.51612903225806,2.875,124.99999999999999,43.47826086956521,2.875,114.4278606965174,39.80099502487562,2.875,225.49019607843135,78.4313725490196,2.875,230.0,80.0,2.875,178.29457364341084,62.01550387596899,2.875,283.95061728395063,98.76543209876544,2.875,203.53982300884954,70.79646017699115,2.875,244.68085106382978,85.1063829787234
2.9375,221.69811320754718,75.47169811320755,2.9375,126.34408602150539,43.01075268817205,2.9375,114.63414634146342,39.02439024390244,2.9375,211.71171171171173,72.07207207207207,2.9375,247.36842105263162,84.2105263157895,2.9375,195.83333333333337,66.66666666666669,2.9375,283.13253012048193,96.3855421686747,2.9375,219.62616822429908,74.76635514018692,2.9375,217.5925925925926,74.07407407407408
3.0,247.4226804123711,82.4742268041237,3.0,128.3422459893048,42.780748663101605,3.0,115.38461538461537,38.46153846153846,3.0,203.38983050847455,67.79661016949152,3.0,266.66666666666663,88.88888888888887,3.0,214.2857142857143,71.42857142857143,3.0,269.6629213483146,89.88764044943821,3.0,242.4242424242424,80.8080808080808,3.0,196.72131147540986,65.57377049180329
3.0625,263.44086021505376,86.02150537634408,3.0625,131.72043010752688,43.01075268817204,3.0625,116.11374407582939,37.91469194312796,3.0625,199.18699186991867,65.04065040650406,3.0625,288.235294117647,94.11764705882352,3.0625,237.86407766990288,77.66990291262135,3.0625,247.47474747474743,80.80808080808079,3.0625,281.6091954022988,91.95402298850573,3.0625,181.48148148148144,59.259259259259245
3.125,274.72527472527474,87.91208791208791,3.125,138.88888888888889,44.44444444444444,3.125,117.9245283018868,37.735849056603776,3.125,193.79844961240312,62.015503875968996,3.125,312.5,100.0,3.125,263.15789473684214,84.21052631578948,3.125,229.3577981651376,73.39449541284404,3.125,357.1428571428571,114.28571428571428,3.125,168.91891891891893,54.054054054054056
3.1875,283.3333333333333,88.88888888888889,3.1875,151.78571428571428,47.61904761904761,3.1875,121.42857142857144,38.0952380952381,3.1875,190.29850746268656,59.70149253731343,3.1875,331.16883116883116,103.8961038961039,3.1875,299.99999999999994,94.11764705882351,3.1875,217.94871794871793,68.37606837606837,3.1875,510.0,160.0,3.1875,159.37499999999997,49.99999999999999
3.25,285.7142857142858,87.91208791208793,3.25,179.31034482758622,55.17241379310345,3.25,126.2135922330097,38.83495145631068,3.25,185.7142857142857,57.14285714285714,3.25,346.6666666666667,106.66666666666667,3.25,356.1643835616439,109.58904109589042,3.25,211.38211382113823,65.04065040650407,3.25,896.551724137931,275.86206896551727,3.25,151.1627906976744,46.51162790697674
3.3125,278.94736842105266,84.21052631578948,3.3125,220.83333333333334,66.66666666666667,3.3125,131.8407960199005,39.80099502487562,3.3125,181.5068493150685,54.79452054794521,3.3125,358.1081081081081,108.10810810810811,3.3125,nan,nan,3.3125,208.66141732283464,62.99212598425196,3.3125,2650.0,800.0,3.3125,144.80874316939892,43.715846994535525
3.375,199.99999999999997,59.25925925925925,3.375,259.6153846153846,76.92307692307692,3.375,136.36363636363635,40.4040404040404,3.375,176.47058823529412,52.287581699346404,3.375,369.86301369863014,109.58904109589041,3.375,nan,nan,3.375,209.30232558139534,62.01550387596899,3.375,nan,nan,3.375,139.17525773195874,41.23711340206185
3.4375,157.14285714285714,45.714285714285715,3.4375,292.5531914893617,85.10638297872342,3.4375,139.59390862944161,40.60913705583756,3.4375,169.7530864197531,49.382716049382715,3.4375,376.7123287671234,109.58904109589044,3.4375,nan,nan,3.4375,211.53846153846155,61.53846153846154,3.4375,nan,nan,3.4375,134.14634146341464,39.02439024390244
3.5,147.3684210526316,42.10526315789474,3.5,321.83908045977006,91.95402298850573,3.5,142.13197969543145,40.60913705583756,3.5,163.74269005847952,46.78362573099415,3.5,383.5616438356165,109.58904109589044,3.5,nan,nan,3.5,215.3846153846154,61.53846153846154,3.5,nan,nan,3.5,129.62962962962962,37.03703703703703
3.5625,144.6700507614213,40.60913705583756,3.5625,360.75949367088606,101.26582278481013,3.5625,143.21608040201002,40.20100502512562,3.5625,156.5934065934066,43.956043956043956,3.5625,390.41095890410963,109.58904109589042,3.5625,128.95927601809953,36.19909502262443,3.5625,220.93023255813952,62.01550387596899,3.5625,nan,nan,3.5625,125.55066079295152,35.242290748898675
3.625,144.27860696517413,39.800995024875625,3.625,432.8358208955224,119.40298507462686,3.625,143.56435643564356,39.603960396039604,3.625,149.48453608247422,41.23711340206185,3.625,408.45070422535207,112.67605633802816,3.625,147.9591836734694,40.816326530612244,3.625,226.5625,62.5,3.625,nan,nan,3.625,121.33891213389121,33.47280334728033
